path_name,longitude,latitude,altitude,timestamp
North Loop,-106.891,33.833,1500,52
North Loop,-106.891,33.832,1500,53
North Loop,-106.891,33.831,1500,54
North Loop,-106.891,33.830,1500,55
North Loop,-106.891,33.829,1500,56
North Loop,-106.891,33.828,1500,57
North Loop,-106.891,33.827,1500,58
North Loop,-106.891,33.826,1500,59
North Loop,-106.890,33.825,1500,60
North Loop,-106.889,33.824,1500,61
North Loop,-106.888,33.823,1500,62
North Loop,-106.887,33.822,1500,63
North Loop,-106.886,33.821,1500,64
North Loop,-106.885,33.820,1500,65
North Loop,-106.884,33.819,1500,66
North Loop,-106.883,33.818,1500,67
North Loop,-106.882,33.817,1500,68
North Loop,-106.882,33.816,1500,69
North Loop,-106.882,33.815,1500,70
North Loop,-106.882,33.814,1500,71
North Loop,-106.882,33.813,1500,72
North Loop,-106.882,33.812,1500,73
North Loop,-106.882,33.811,1500,74
